Gene,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Product,Note
tlpC,371,247,245,233,311,265,190,248,243,230,372771,374492,-,chr,BSU03440,methyl-accepting chemotaxis protein,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15187186, 7704255, 7921238; Product type rc : receptor"
hxlB,111,138,102,179,92,118,83,238,146,70,374603,375160,-,chr,BSU03450,6-phospho 3-hexuloisomerase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10572115, 15978081; Product type e: enzyme"
hxlA,149,235,147,341,136,288,124,466,229,153,375166,375798,-,chr,BSU03460,3-hexulose-6-phosphate synthase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10572115, 15978081; Product type e: enzyme"
hxlR,83,113,76,132,71,104,57,155,140,152,376032,376394,+,chr,BSU03470,positive regulator of hxlAB expression,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15978081; Product type r: regulator
srfAA,14336,6726,9345,8312,12140,8009,9427,7328,5527,10435,376968,387731,+,chr,BSU03480,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15066026, 16166527, 8288534, 8441623; Product type e: enzyme"
srfAB,17638,7953,10432,8906,15258,8921,11848,7758,6463,13538,387744,398495,+,chr,BSU03490,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15066026, 16166527, 16553878, 17227471; Product type e: enzyme"
comS,200,82,130,100,173,70,133,90,52,140,390880,391020,+,chr,BSU03500,regulator of genetic competence,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10361283, 16554821, 8752331, 9696775; Product type r: regulator"
srfAC,7894,3937,4517,3895,6607,4298,5404,3816,3051,6086,398532,402359,+,chr,BSU03510,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15066026, 16166527, 16553878, 17227471; Product type e: enzyme"
srfAD,1487,677,866,706,1222,779,974,637,570,1199,402388,403116,+,chr,BSU03520,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16166527, 16553878, 17227471; Product type e: enzyme"
ycxA,768,375,2297,1024,1687,813,1876,1117,619,668,403217,404443,+,chr,BSU03530,permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ycxB,180,268,116,228,133,256,138,308,290,283,404458,405015,-,chr,BSU03540,hypothetical protein,Evidence 5: No homology to any previously reported sequences
ycxC,152,109,151,97,176,106,130,118,83,80,405069,406007,-,chr,BSU03550,permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ycxD,407,352,348,299,373,347,312,382,326,305,406131,407465,+,chr,BSU03560,PLP-dependent transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15223311; Product type pr : regulator"
sfp,128,72,111,65,105,59,90,63,51,67,407460,407627,-,chr,BSU03569,,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10568751, 17376553, 2848009, 9384377; Product type e: enzyme"
sfp,575,570,480,452,460,551,441,530,488,570,407638,408135,-,chr,BSU03570,,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10568751, 17376553, 2848009, 9384377; Product type e: enzyme"
yczE,1073,545,855,389,895,492,839,500,475,421,408240,408887,-,chr,BSU03580,integral inner membrane protein regulating antibiotic production,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15849754, 16850406, 17827323; Product type m : membrane component"
tcyC,1289,1972,930,1217,1404,2010,1351,1806,2096,2022,409208,409951,-,chr,BSU03590,cystine ABC transporter ATP-binding protein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15262924; Product type t: transporter
tcyB,1381,904,877,533,1436,909,1207,737,854,917,409965,410669,-,chr,BSU03600,cystine ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15262924, 15849754, 16850406; Product type t: transporter"
tcyA,2645,4600,1757,3070,2689,4906,2480,4387,4682,4820,410656,411462,-,chr,BSU03610,cystine ABC transporter substrate-binding lipoprotein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15262924; Product type t: transporter
yclA,136,126,83,98,92,124,102,101,113,124,411578,412450,-,chr,BSU03620,LysR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
yclB,20,20,14,27,29,28,29,47,39,32,412540,413154,+,chr,BSU03630,aromatic acid decarboxylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10919793; Product type pe :  enzyme"
ubiD,80,58,57,38,73,56,57,56,58,62,413157,414578,+,chr,BSU03640,3-polyprenyl-4-hydroxybenzoate decarboxylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11029449, 18388975; Product type pe: enzyme"
bsdD,10,20,7,21,23,27,15,10,28,26,414595,414822,+,chr,BSU03651,nonoxidative vanillate/4-hydroxybenzoate decarboxylase subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15979273, 18388975; Product type e: enzyme"
yclD,32,14,15,10,23,9,24,15,19,11,414819,415283,+,chr,BSU03652,FMN-binding enzyme subunit,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15979273; Product type pe :  enzyme"
yclE,240,226,198,183,170,196,185,230,235,209,415350,416195,+,chr,BSU03660,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
dtpT,1749,1258,324,245,704,545,411,352,597,668,416235,417713,-,chr,BSU03670,di-tripeptide-proton ABC symporter,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 11717292, 15849754, 16850406, 8458848; Product type t: transporter"
yclG,110,80,58,40,75,74,44,76,57,73,417993,419747,+,chr,BSU03680,uronase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yczF,6,20,12,16,5,9,4,15,16,20,419763,419984,-,chr,BSU03690,hypothetical protein,Evidence 5: No homology to any previously reported sequences
gerKA,90,92,67,81,77,94,79,80,71,83,420110,421744,+,chr,BSU03700,spore germination receptor subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10762253, 16707705, 16740944; Product type cp: cell process"
gerKC,97,119,53,96,68,83,65,115,98,96,421734,422957,+,chr,BSU03710,spore germination receptor subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10762253, 16707705, 16740944; Product type cp: cell process"
gerKB,120,138,93,62,94,111,103,98,94,131,422982,424103,+,chr,BSU03720,spore germination receptor subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10762253, 15849754, 16707705, 16740944, 16850406; Product type cp: cell process"
yclH,38,29,25,17,26,18,26,24,20,26,424208,424888,-,chr,BSU03730,ABC transporter ATPase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt:  transporter"
yclI,65,64,39,34,64,51,60,49,63,55,424904,426364,-,chr,BSU03740,transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt:  transporter"
yclJ,437,858,334,678,287,730,305,827,648,754,426577,427260,+,chr,BSU03750,two-component response regulator YclK,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 15375128; Product type r: regulator"
yclK,1043,1403,852,1090,808,1146,799,1478,1191,1377,427247,428668,+,chr,BSU03760,two-component sensor histidine kinase YclJ,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 15375128; Product type rc: receptor"
rapC,1704,1764,1452,2197,1020,1791,1173,2768,2168,2361,428831,429979,+,chr,BSU03770,response regulator aspartate phosphatase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10464187, 12456319, 12897006, 12950917; Product type e: enzyme"
phrC,45,15,74,15,29,25,30,31,31,18,429963,430085,+,chr,BSU03780,secreted regulator of the activity of phosphatase RapC,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10464187, 12456319, 12897006, 12950917, 16816200; Product type r: regulator"
yczN,83,39,147,71,82,46,128,68,38,36,430356,430469,-,chr,BSU03789,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yclM,854,797,7059,7333,2711,3500,4132,5645,2267,2053,430623,431987,-,chr,BSU03790,aspartate kinase,catalyzes the formation of 4-phospho-L-aspartate from L-aspartate and ATP; lysine and threonine sensitive
yclN,536,344,389,382,291,400,534,404,283,434,432372,433322,+,chr,BSU03800,iron-siderophore ABC transporter permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229, 15849754, 16850406; Product type pt:  transporter"
yclO,480,243,379,261,297,295,514,403,240,325,433315,434262,+,chr,BSU03810,iron-siderophore ABC transporter permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229, 15849754, 16850406; Product type pt:  transporter"
yclP,467,406,348,508,244,496,441,577,342,487,434256,435014,+,chr,BSU03820,iron-siderophore ABC transporter ATP-binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229; Product type pt : transporter"
yclQ,1014,741,695,967,523,817,847,1178,653,940,435036,435989,+,chr,BSU03830,iron-siderophore ABC transporter binding lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229; Product type pt : transporter"
ycnB,1524,966,1803,896,1771,991,1605,1092,935,992,436036,437454,-,chr,BSU03840,efflux transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ycnC,763,1031,823,1078,924,1037,769,1208,916,1101,437474,438352,-,chr,BSU03850,TetR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
ycnD,807,709,636,517,719,708,633,738,793,731,438516,439265,-,chr,BSU03860,NADPH-FMN oxidoreductase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16229462, 9836433; Product type e: enzyme"
ycnE,356,593,259,475,270,676,297,611,661,633,439282,439569,-,chr,BSU03870,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yczG,1428,851,1447,881,1229,985,1375,974,793,809,439709,440023,+,chr,BSU03880,ArsR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
gabR,173,131,233,191,200,217,186,242,184,171,440025,441464,-,chr,BSU03890,GntR family transcriptional regulator,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15223311; Product type r: regulator
gabT,60,41,88,96,79,89,88,103,71,77,441571,442881,+,chr,BSU03900,4-aminobutyrate aminotransferase,catalyzes the formation of succinate semialdehyde and glutamate from 4-aminobutanoate and 2-oxoglutarate
gabD,1389,1676,1513,1495,1437,1758,1591,1746,1622,1786,442950,444338,+,chr,BSU03910,succinate-semialdehyde dehydrogenase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12354229, 15590624, 9723923; Product type e : enzyme"
glcU,16,5,7,9,11,8,18,15,11,6,444461,445324,+,chr,BSU03920,glucose permease,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10438764, 15849754, 16850406; Product type t : transporter"
gdh,35,15,17,20,20,21,22,30,15,24,445344,446129,+,chr,BSU03930,glucose-1-dehydrogenase,"Converts glucose to D-glucono-1,5 lactone"
ycnI,2392,1368,1430,854,1706,1075,1391,1159,1159,1488,446174,446788,-,chr,BSU03940,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
ycnJ,4586,4036,2664,2611,3332,2896,2711,3044,2951,4023,446801,448426,-,chr,BSU03950,copper import protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15101989, 15849754, 16850406; Product type pt:  transporter"
ycnK,2161,1695,1223,1118,1660,1354,1217,1335,1264,1605,448461,449033,-,chr,BSU03960,DeoR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15101989; Product type pr : regulator"
ycnL,277,165,244,103,248,162,258,134,155,152,449198,449551,+,chr,BSU03970,reductase or disulfide isomerase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406, 18307109; Product type pe:  enzyme"
mtlA,221,235,134,158,143,150,121,162,139,159,449724,451160,+,chr,BSU03981,phosphotransferase system (PTS) mannitol-specific enzyme IICB component,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12897001; Product type t: transporter
mtlF,69,111,54,81,41,112,39,105,63,81,451185,451616,+,chr,BSU03982,phosphotransferase system (PTS) mannitol-specific enzyme IIA component,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12897001; Product type t: transporter
